Rank,SMILES,Binding_Affinity_kcal_mol,Model,Prompt,Previously_Found,Compound_Name,Binding_Residues
144,CC1=CC[C@@H]2C[C@H]1C2(C)C,-5.7,gemma - 5,12,False,"(1R,5R)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene","UNK0, F43602, TYR366, PHE440, PHE360"
145,CC1=CC=C(C=C1)C,-5.7,gemma - 2,12,False,"1,4-xylene","UNK0, F43602, TYR366, PHE440, PHE360"
146,CC1=CCC2CC1C2(C)C,-5.7,gemma - 2,12,False,"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene","UNK0, F43602, TYR366, PHE440, PHE360"
147,COC1=C(C(=CC=C1)OC)C(=O)O,-5.7,gemma 2,13,False,"2,6-dimethoxybenzoic acid","UNK0, F43602, TYR366, PHE440, PHE360"
148,COC1=CC(=C(C=C1O)C(=O)O)OC,-5.7,gemma,10,False,"5-hydroxy-2,4-dimethoxybenzoic acid","UNK0, F43602, TYR366, PHE440, PHE360"
149,COC(=O)C1=CC(=C(C(=C1)O)O)O,-5.6,gemma,13,False,"methyl 3,4,5-trihydroxybenzoate","UNK0, F43602, TYR366, PHE440, PHE360"
150,C=CCS(=O)CC(C(=O)O)N,-5.6,qwen,11,False,2-amino-3-prop-2-enylsulfinylpropanoic acid,"PHE360, PHE440, UNK0, F43602, TYR366"
151,C/C=C/S(=O)C[C@@H](C(=O)[O-])[NH3+],-5.6,nemotron,11,False,(2R)-2-azaniumyl-3-[(E)-prop-1-enyl]sulfinylpropanoate,"PHE360, PHE440, UNK0, F43602, TYR366"
152,CC1CCC=C(C1C)C,-5.5,gemma 5,13,False,"1,5,6-trimethylcyclohexene","UNK0, F43602, TYR366, PHE440, PHE360"
153,C=CCS(=O)C[C@@H](C(=O)O)N,-5.5,qwen,11,False,(2R)-2-amino-3-prop-2-enylsulfinylpropanoic acid,"PHE360, PHE440, UNK0, F43602, TYR366"
154,COC1=CC(=C(C=C1)C=CC)OC,-5.5,gemma,13,False,"2,4-dimethoxy-1-prop-1-enylbenzene","UNK0, F43602, TYR366, PHE440, PHE360"
155,COC(=O)[C@@H](N)C[S@](=O)CC=C,-5.5,gemma - 5,12,False,PubChem CID: None,"UNK0, F43602, TYR366, PHE440, PHE360"
156,COC1=C(C=C(C=C1)CC=C)OC,-5.5,gemma - 2,12,False,"1,2-dimethoxy-4-prop-2-enylbenzene","UNK0, F43602, TYR366, PHE440, PHE360"
157,CC1=CC[C@H]2C[C@@H]1C2(C)C,-5.4,gemma - 2,12,False,"(1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene","UNK0, F43602, TYR366, PHE440, PHE360"
158,CC1CC2CCC1(C)C2O,-5.4,gemma,13,False,PubChem CID: None,"UNK0, F43602, TYR366, PHE440, PHE360"
159,COC1=CC(=C(C(=C1)O)OC)C(=O)O,-5.3,gemma,13,False,"3-hydroxy-2,5-dimethoxybenzoic acid","UNK0, F43602, TYR366, PHE440, PHE360"
160,CC1=CC(=C(C=C1)O)OC,-5.3,gemma - 4,12,False,2-methoxy-4-methylphenol,"UNK0, F43602, TYR366, PHE440, PHE360"
161,C=CCSCC(C(=O)O)N,-5.3,qwen,11,False,2-amino-3-prop-2-enylsulfanylpropanoic acid,"PHE360, PHE440, UNK0, F43602, TYR366"
162,C=CCSC[C@@H](C(=O)O)N,-5.3,qwen,11,False,(2R)-2-amino-3-prop-2-enylsulfanylpropanoic acid,"PHE360, PHE440, UNK0, F43602, TYR366"
163,CC1C=CCCC1C(=C)C,-5.3,gemma 5,13,False,3-methyl-4-prop-1-en-2-ylcyclohexene,"UNK0, F43602, TYR366, PHE440, PHE360"
164,CC1=CC=CC=C1C,-5.3,gemma - 2,12,False,"1,2-xylene","UNK0, F43602, TYR366, PHE440, PHE360"
165,CS(=O)CC[C@@H](C(=O)O)N,-5.2,nemotron,11,False,(2S)-2-amino-4-methylsulfinylbutanoic acid,"PHE360, PHE440, UNK0, F43602, TYR366"
166,CNC1=CC=CC=C1C(=O)OC,-5.1,gemma 5,13,False,methyl 2-(methylamino)benzoate,"UNK0, F43602, TYR366, PHE440, PHE360"
167,CC1CC=C(CC1C)C,-5.1,gemma 5,13,False,"1,4,5-trimethylcyclohexene","UNK0, F43602, TYR366, PHE440, PHE360"
168,C=CC[S][C@@H](C(=O)O)N,-5.1,gemma 4,13,False,PubChem CID: None,"UNK0, F43602, TYR366, PHE440, PHE360"
169,C1=CC(=C(C(=C1)O)O)O,-4.9,gemma 5,13,False,"benzene-1,2,3-triol","UNK0, F43602, TYR366, PHE440, PHE360"
170,NC(C(=O)O)CCS,-4.6,gemma,11,False,2-amino-4-sulfanylbutanoic acid,"PHE360, PHE440, UNK0, F43602, TYR366"
171,CS(C)C(N)C(=O)O,-4.4,gemma,11,False,,"PHE360, PHE440, UNK0, F43602, TYR366"
172,C(C(C(=O)O)N)S,-4.4,gemma 3,13,False,,"UNK0, F43602, TYR366, PHE440, PHE360"
173,NC(C(=O)O)CS,-4.3,gemma,11,False,2-amino-3-sulfanylpropanoic acid,"PHE360, PHE440, UNK0, F43602, TYR366"
174,[2H]C([2H])(Br)Br,-3.2,gemma - 2,12,False,dibromo(dideuterio)methane,"UNK0, F43602, TYR366, PHE440, PHE360"
175,C(Br)Br,-3.2,gemma - 2,12,False,dibromomethane,"UNK0, F43602, TYR366, PHE440, PHE360"
176,C(Br)(Br)Br,-3.1,gemma - 2,12,True,Bromoform,"UNK0, F43602, TYR366, PHE440, PHE360"
177,[13CH](Br)(Br)Br,-3.1,gemma - 2,12,False,tribromo(113C)methane,"UNK0, F43602, TYR366, PHE440, PHE360"
178,[2H]C(Br)(Br)Br,-3.1,gemma - 2,12,False,tribromo(deuterio)methane,"UNK0, F43602, TYR366, PHE440, PHE360"
179,C(I)(I)I,-2.7,gemma - 5,12,False,iodoform,"UNK0, F43602, TYR366, PHE440, PHE360"
180,C1[C@H]([C@@H]([C@@H](C[C@]1(C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)O)O,-9.9,qwen3-vl:235b.md,6,False,"(1R,3R,4S,5R)-1,3-bis[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy]-4,5-dihydroxycyclohexane-1-carboxylic acid",
181,O=[N+]([O-])OCCCCc1ccc(C#N)cc1F,-8.6,unknown,1,False,PubChem CID: None,
182,O=[N+]([O-])OCCCCc1ccc(C(F)(F)F)cc1,-8.6,unknown,1,False,PubChem CID: None,
183,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)O,-8.6,qwen - sas - fail.md,7,False,"(1S,3R,4R,5R)-3,4-bis[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy]-1,5-dihydroxycyclohexane-1-carboxylic acid",
184,O=[N+]([O-])CCCCc1ccc(C(F)(F)F)cc1,-8.4,unknown,4,False,PubChem CID: None,
185,O=[N+]([O-])OCCCCc1ccc(O)cc1,-8.4,unknown,1,False,PubChem CID: None,
186,O=[N+]([O-])OCCCCc1ccc(F)cc1,-8.3,unknown,1,False,PubChem CID: None,
187,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,-8.3,qwen3-vl:235b.md,6,False,"(1S,3R,4R,5R)-3-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-1,4,5-trihydroxycyclohexane-1-carboxylic acid",
188,O=[N+]([O-])CCCCc1ccc(C#N)cc1,-8.3,unknown,4,False,PubChem CID: None,
189,O=[N+]([O-])CCCCc1ccc(C#N)cc1F,-8.2,unknown,4,False,PubChem CID: None,
190,O=[N+]([O-])OCCCCc1ccc([N+](=O)[O-])cc1,-8.2,unknown,1,False,PubChem CID: None,
191,C1[C@H]([C@@H]([C@@H](C[C@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,-8.2,gpt-oss120,7,False,"(1R,3R,4S,5R)-3-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-1,4,5-trihydroxycyclohexane-1-carboxylic acid",
192,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,-8.1,qwen - sas - fail.md,7,False,"3-(3,4-dihydroxyphenyl)-2-[3-(3,4-dihydroxyphenyl)prop-2-enoyloxy]propanoic acid",
193,C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,-7.9,qwen3-vl:235b.md,6,False,"(2R)-3-(3,4-dihydroxyphenyl)-2-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxypropanoic acid",
194,COC1=C(C=CC(=C1)/C=C/C(=O)O[C@@H]2C[C@@](C[C@H]([C@H]2O)O)(C(=O)O)O)O,-7.8,gpt-oss120,7,False,"(1S,3R,4R,5R)-1,3,4-trihydroxy-5-[(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]oxycyclohexane-1-carboxylic acid",
195,O=[N+]([O-])c1ccc(C(F)(F)F)cc1,-7.1,unknown,4,False,1-nitro-4-(trifluoromethyl)benzene,
196,O=[N+]([O-])OCCCCc1ccc(C#N)cc1,-7.0,unknown,1,False,PubChem CID: None,
197,O=[N+]([O-])c1ccc(C#N)cc1F,-6.3,unknown,4,False,3-fluoro-4-nitrobenzonitrile,
198,O=[N+]([O-])c1ccc(F)cc1,-6.2,unknown,4,False,1-fluoro-4-nitrobenzene,
199,O=[N+]([O-])c1ccc(C#N)cc1,-5.9,unknown,4,False,4-nitrobenzonitrile,
